unique_id	str_order	occ_cur	T_mean_sum	T_inertia	featureid
581	1	0.969953755	14.6296717	330.3714233	201476108
580	1	0.969953755	14.6296717	330.3714233	201476108
579	1	0.969953755	14.6296717	330.3714233	201476108
538	3	0.959245647	13.72112258	356.2312085	201476129
548	1	0.979744669	13.07835651	392.7574688	201476131
547	1	0.979744669	13.07835651	392.7574688	201476131
456	1	0.968446055	13.50175516	290.5698057	201476132
459	1	0.968446055	13.50175516	290.5698057	201476132
460	1	0.968446055	13.50175516	290.5698057	201476132
461	1	0.968446055	13.50175516	290.5698057	201476132
457	1	0.968446055	13.50175516	290.5698057	201476132
462	1	0.968446055	13.50175516	290.5698057	201476132
463	1	0.968446055	13.50175516	290.5698057	201476132
458	1	0.968446055	13.50175516	290.5698057	201476132
543	1	0.918539805	16.15322708	195.8262975	201476133
545	1	0.918539805	16.15322708	195.8262975	201476133
544	1	0.918539805	16.15322708	195.8262975	201476133
591	3	0.99014599	14.64090304	312.9638223	201476134
594	2	0.89682964	17.05414003	177.4492421	201476141
592	1	0.89682964	17.05414003	177.4492421	201476141
593	2	0.89682964	17.05414003	177.4492421	201476141
595	1	0.89682964	17.05414003	177.4492421	201476141
599	1	0.974371373	17.37790327	166.2161489	201476142
487	2	0.985158522	14.81714686	208.8581117	201476151
488	2	0.985158522	14.81714686	208.8581117	201476151
598	3	0.947930845	15.13894087	248.4264633	201476152
597	3	0.947930845	15.13894087	248.4264633	201476152
596	3	0.947930845	15.13894087	248.4264633	201476152
604	1	0.951678227	15.38459085	214.300189	201476171
605	1	0.951678227	15.38459085	214.300189	201476171
608	2	0.951678227	15.38459085	214.300189	201476171
603	1	0.951678227	15.38459085	214.300189	201476171
606	2	0.951678227	15.38459085	214.300189	201476171
607	2	0.951678227	15.38459085	214.300189	201476171
609	1	0.951678227	15.38459085	214.300189	201476171
602	2	0.951678227	15.38459085	214.300189	201476171
613	1	0.990915739	13.71336594	258.2413344	201476177
612	1	0.990915739	13.71336594	258.2413344	201476177
611	2	0.990915739	13.71336594	258.2413344	201476177
610	1	0.990915739	13.71336594	258.2413344	201476177
615	1	0.991887155	13.20906279	401.1446018	201476185
614	1	0.991887155	13.20906279	401.1446018	201476185
617	1	0.991887155	13.20906279	401.1446018	201476185
616	1	0.991887155	13.20906279	401.1446018	201476185
550	6	NA	NA	NA	201476195
618	1	0.968341746	17.00510633	165.6284975	201476197
619	1	0.968341746	17.00510633	165.6284975	201476197
622	1	0.844006405	15.90873088	193.1030366	201476199
623	1	0.844006405	15.90873088	193.1030366	201476199
621	1	0.844006405	15.90873088	193.1030366	201476199
620	1	0.844006405	15.90873088	193.1030366	201476199
624	1	0.844006405	15.90873088	193.1030366	201476199
625	1	0.844006405	15.90873088	193.1030366	201476199
627	1	0.968007713	14.66523769	184.8467916	201476205
574	2	0.968007713	14.66523769	184.8467916	201476205
573	2	0.968007713	14.66523769	184.8467916	201476205
572	2	0.968007713	14.66523769	184.8467916	201476205
626	1	0.968007713	14.66523769	184.8467916	201476205
601	2	0.970046844	13.70829746	346.8452047	201476211
629	1	0.970046844	13.70829746	346.8452047	201476211
630	1	0.970046844	13.70829746	346.8452047	201476211
