score	bar_type	drain_bar	drain_tot	strkm_bar	strkm_tot	upstr_bars	hydro_rof	struct_rof	geo_rof	unique_id	featureid
0.79	1	6.21	6.21	5.119782668	5.119782668	0	0.48506821	0.82055998	0.689199109	196	201474942
0.76	1	4.4253	4.4757	5.074579534	5.306120468	1	0.684789463	0.143435212	0.103859021	151	201474849
0.729	1	0.2169	4.6926	0.144461877	5.450582345	2	0.479026347	0.98972445	0.026581102	152	201474849
0	1	0.0747	0.0747	0.167055986	0.167055986	0	0.642172399	0.865378608	0.067475979	362	201475579
0.621	1	1.6551	1.6551	1.594936529	1.594936529	0	0.097379826	0.186672735	0.270427417	321	201475445
0.592	1	0.1377	1.7928	0.083076143	1.678012672	1	0.534443877	0.29634732	0.776749861	322	201475445
0.92	1	1.0395	21.6756	1.016172402	19.8138046	11	0.08518817	0.174509192	0.346604165	357	201475578
0.652	1	0.0621	1.8549	0.181433776	1.859446448	2	0.725540256	0.518326949	0.239301763	325	201475445
0.633	1	0.0072	1.8621	0.036420358	1.895866807	3	0.289695559	0.785414952	0.247707622	324	201475445
0.622	1	0.1476	0.2223	0.48826423	0.655320216	1	0.597404447	0.796623466	0.401839801	363	201475579
0.952	1	1.7667	76.8708	2.885206868	75.53814507	57	0.662799459	0.076482057	0.148555231	360	201475579
0.926	1	5.967	18.3582	8.434965972	19.8843539	5	0.00389244	0.66218522	0.898384148	253	201475272
0.68	1	0.2412	2.1033	0.367638951	2.263505758	4	0.350244979	0.740046155	0.708678561	323	201475445
0.592	1	1.4886	1.4886	0.879022916	0.879022916	0	0.59065709	0.836477868	0.250335828	155	201474850
0.711	1	0.09	4.9671	0.207733489	3.346052552	3	0.539071643	0.798085585	0.376798915	252	201475273
0.653	1	0.2511	0.2511	0.316326924	0.316326924	0	0.799627272	0.767626349	0.457936585	314	201475435
0.671	1	0.018	0.2691	0.109492007	0.42581893	1	0.85569379	0.237646106	0.742042608	315	201475435
0.739	1	0.1944	4.8771	0.194428691	3.138319062	2	0.51375468	0.536873066	0.256243236	251	201475273
0.949	1	3.1113	55.6479	4.488862956	54.02592945	37	0.21897658	0.546076531	0.403077564	282	201475435
0.731	1	4.4937	4.4937	2.666696756	2.666696756	0	0.01306653	0.133543608	0.906674666	249	201475273
0.689	1	0.3789	2.8953	0.561235679	3.473833944	2	0.521847288	0.933037965	0.54292399	287	201475340
0.738	1	0.189	4.6827	0.277193615	2.943890372	1	0.741359466	0.892887716	0.826314291	250	201475273
0.867	1	2.1618	17.0838	2.020452235	15.93768406	11	0.356753629	0.506856441	0.783595134	339	201475486
0.868	1	1.179	9.5886	0.577853891	8.36002652	4	0.623285347	0.713282107	0.157787597	366	201475585
0.736	1	4.4406	4.8969	3.920452098	4.411797746	1	0.878969938	0.342663981	0.614577489	365	201475585
0.76	1	0.4878	3.5127	0.735720756	3.370374883	1	0.90096562	0.383525843	0.055272518	352	201475514
0.671	1	3.0249	3.0249	2.634654127	2.634654127	0	0.921561176	0.306752092	0.207893939	351	201475514
0.613	1	0.4563	0.4563	0.491345648	0.491345648	0	0.421854926	0.026221957	0.257091675	383	201475651
0.7	1	0.1809	2.5164	0.233911565	2.912598265	1	0.503248792	0.246020481	0.232589855	286	201475340
0.65	1	2.3355	2.3355	2.6786867	2.6786867	0	0.6143674	0.366209091	0.908465494	285	201475340
0.918	1	2.0493	14.922	2.046517291	13.91723182	10	0.788154275	0.018805561	0.323288472	341	201475589
0.845	1	0.2421	10.3167	0.364996549	9.311949262	6	0.678663359	0.595753674	0.698621103	368	201475585
0.841	1	0.486	10.0746	0.586926194	8.946952713	5	0.753690448	0.55717016	0.369777485	367	201475585
0.721	1	0.0657	2.556	0.145859869	2.55876527	2	0.470517978	0.132121842	0.929976804	372	201475844
0.765	1	3.9483	3.9483	2.241215052	2.241215052	0	0.051889319	0.995058807	0.031954254	181	201474969
0.591	1	0.5958	0.5958	0.479612939	0.479612939	0	0.556097531	0.745837188	0.737350389	1743	201477681
0.632	1	0.2556	0.2556	0.182762132	0.182762132	0	0.622758733	0.251891703	0.96662358	1803	201477717
0.526	1	0.6444	0.9	0.80802931	0.990791442	1	0.001773726	0.848661785	0.93707127	1804	201477717
0.722	1	2.0061	2.0061	1.397794758	1.397794758	0	0.671318687	0.126667018	0.569217488	1584	201477449
0.559	1	0.4473	0.4473	0.521961423	0.521961423	0	0.789998328	0.385402753	0.55577065	1581	201477449
0.624	1	1.1232	1.1232	1.197125114	1.197125114	0	0.043533631	0.155116519	0.41187908	1541	201477402
0.587	1	1.17	1.17	1.062035656	1.062035656	0	0.886046213	0.688130797	0.644491663	1557	201477476
0.859	1	2.5983	7.3449	3.952775017	8.131691966	4	0.518136396	0.78169176	0.390311225	1559	201477426
0.848	1	0.7371	8.082	0.927040509	9.058732475	5	0.68794369	0.089413691	0.410015417	1561	201477426
0.866	1	1.3932	9.4752	0.737752147	9.796484621	6	0.64260493	0.988666018	0.460310156	1562	201477426
0.866	1	1.2024	10.6776	0.766135881	10.5626205	7	0.085033001	0.465940683	0.265727105	1563	201477426
0.647	1	3.1185	3.1185	3.271583849	3.271583849	0	0.19232702	0.242528092	0.347873414	1591	201477530
0.552	1	0.2907	0.2907	0.829854005	0.829854005	0	0.90072877	0.273524597	0.934253594	1586	201477450
0.905	1	0.8154	14.6115	1.417471187	15.25167554	9	0.767833811	0.812699507	0.560322673	1589	201477450
0.65	1	0.18	0.18	0.012309522	0.012309522	0	0.757484346	0.649002943	0.856248291	1276	201477173
0.847	1	3.9429	9.3321	5.77597214	10.91257294	8	0.156656709	0.90615408	0.871911975	1219	201477070
0.655	1	0.0972	0.0972	0.162666837	0.162666837	0	0.424395875	0.936949001	0.0858904	1175	201476917
0.804	1	0.4365	5.166	0.7093919	7.554425962	5	0.031784622	0.910270153	0.498078845	678	201476294
0.678	1	0.0405	5.2065	0.150286009	7.704711971	6	0.102702762	0.086560082	0.349707262	679	201476294
