unique_id	cross_prior	eco_dis	trans_vuln	max_rof	int_del	impass	deltaln	effectln	effln16Cur	effln18Cur	effln20Cur	effln22Cur	effln16Fut	effln18Fut	effln20Fut	effln22Fut	anad_rest	struct_rof	geo_rof	hydCurAll	hydCurStat	hydCurPhys	hydMCAll	hydMCPhys	ave_del	aff_del	max_del	bar_type	drain_tot	drain_bar	strkm_tot	strkm_bar	upstr_bars	slope_perc	Q2_m3_s	w_W_m2_ST	obs_date	jurisdiction	nhs	crossing_id	featureid
164	0.385961321	0.691238242	NA	NA	NA	0.356	0.68535349	0.691238242	0	0.756807514	0.756810647	0.756810647	0	0	0.756807514	0.756810647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.3078	0.3078	0.779802617	0.779802617	0	NA	NA	NA	NA	NA	NA	xy4297627872953366	201474868
166	0.249432099	0.446720943	NA	NA	NA	0.072	0.455831461	0.446720943	0	0.455875174	0.490859086	0.490859086	0	0	0.455875174	0.490859086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	69.3459	41.706	78.09614844	48.10850626	20	7.52	44.8151403	1343.181962	NA	NA	NA	xy4297256972948191	201474918
167	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.628118263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	69.3459	0	78.10269325	0.006544809	21	7.52	44.8151403	1343.181962	NA	NA	NA	VT_191.01	201474918
168	0.352216089	0.630802148	NA	NA	NA	1	0.635824083	0.630802148	0	0.656755742	0.692503426	0.692503426	0	0	0.656755742	0.692503426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	69.3819	0.036	78.1623361	0.059642842	22	7.52	44.8151403	1343.181962	NA	NA	NA	xy4297214972948768	201474918
171	0.406081616	0.727272727	NA	NA	NA	0.251	0.679541632	0.67913812	0.727272727	0.744155574	0.744155574	0.744155574	0	0.727272727	0.744155574	0.744155574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.1005	2.1699	2.441216815	2.07180617	1	13.0799999	0.077562255	97.19358155	NA	NA	NA	xy4297353272937082	201474870
173	NA	NA	NA	NA	NA	0.398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.9306	0.9306	0.369410645	0.369410645	0	9.0600004	1.395162489	285.5257261	NA	NA	NA	xy4297075072921639	201474870
179	0.257317156	0.460842704	NA	NA	NA	0.129	0.485448897	0.460842704	0	0.503677748	0.503677748	0.503677748	0	0	0.503677748	0.503677748	0.133271788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	18.1908	17.5608	18.20105325	17.29832967	2	0.82	14.47744216	83.24619637	NA	NA	NA	xy4298492372988881	201474902
181	NA	NA	NA	NA	NA	0.235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.9483	3.9483	2.241215052	2.241215052	0	3.71	5.601722696	234.2822296	NA	NA	NA	xy4298335173044344	201474969
183	NA	NA	NA	NA	NA	0.197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7.6536	3.7053	6.140894922	3.89967987	1	1.54	10.47115118	132.9604745	NA	NA	NA	xy4298479873032380	201474954
184	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	10.476	2.8224	8.665460423	2.524565501	2	3.27	8.415075414	253.0937308	NA	NA	NA	xy4297989873010604	201474954
190	0.355648111	0.636948735	NA	NA	NA	0.36	0.647399034	0.636948735	0.636363636	0.687721745	0.695119951	0.695119951	0	0.636363636	0.687721745	0.695119951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.774	0.774	2.347668819	2.347668819	0	4.6900001	1.422442408	149.2432937	NA	NA	NA	xy4297574372957872	201474932
192	NA	NA	NA	NA	NA	0.429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.1062	0.1062	0.566484962	0.566484962	0	4.8200002	0.296713797	70.05200269	NA	NA	NA	xy4297551372955891	201474932
196	0.50760202	0.909090909	NA	NA	NA	0.21	0.865766649	0.86320061	0.909090909	0.943314206	0.943314206	0.943314206	1	0.909090909	0.943314206	0.943314206	0.235539074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6.21	6.21	5.119782668	5.119782668	0	3.1199999	10.60380921	271.0754341	NA	NA	NA	xy4294972172844175	201474942
206	0.203110958	0.363761999	NA	NA	NA	0.267	0.47257776	0.363761999	0.363636364	0.395884207	0.395884207	0.395884207	0	0.363636364	0.395884207	0.395884207	0.120379217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5.4288	1.4787	5.233275537	1.247123501	4	2.6099999	4.207455098	142.8416526	NA	NA	NA	xy4296675372889654	201475065
207	0.304561212	0.545454545	NA	NA	NA	0.136	0.609642052	0.517747374	0.545454545	0.565621394	0.565621394	0.565621394	0	0.545454545	0.565621394	0.565621394	0.146577537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12.6657	2.4084	8.260312072	1.36195968	8	1.33	9.461093359	109.1508068	NA	NA	NA	xy4294439772877580	201475065
208	0.355321414	0.636363636	NA	NA	NA	0.179	0.678963063	0.597226767	0.636363636	0.652341173	0.652341173	0.652341173	0	0.636363636	0.652341173	0.652341173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	13.2678	0.6021	9.219387663	0.959075591	9	1.33	9.461093359	109.1508068	NA	NA	NA	xy4294759572868404	201475065
