score	bar_type	drain_bar	drain_tot	strkm_bar	strkm_tot	upstr_bars	str_order	observed_date	unique_id	featureid
0.626	1	0.3573	0.7074	1.004110879	1.425423971	1	2		604	201476211
0.661	1	0.3591	0.3591	0.518166437	0.518166437	0	1		607	201476171
0.635	1	1.134	1.134	2.25968263	2.25968263	0	2		610	201476171
0.612	1	0.0234	1.1574	0.11763905	2.37732168	1	2		611	201476171
0.584	1	0.5445	0.5445	0.284601827	0.284601827	0	1		616	201476177
0.651	1	1.2258	1.2258	0.708876824	0.708876824	0	1		618	201476185
0.686	1	1.1799	2.6766	1.575905511	2.699079331	2	1		619	201476185
0.582	1	0.2709	1.4967	0.414296996	1.12317382	1	1		621	201476185
0.566	1	0.7038	0.7038	0.383970336	0.383970336	0	1		623	201476197
0.608	1	0.2682	0.2682	0.394419844	0.394419844	0	1		625	201476199
0.62	1	0.9117	1.1799	0.490222005	0.884641849	1	1		626	201476199
0.553	1	0.1026	1.2825	0.193547704	1.078189553	2	1		627	201476199
0.548	1	0.0666	1.3491	0.083081064	1.161270617	3	1		628	201476199
0.584	1	0.3996	1.7487	0.342850184	1.504120801	4	1		629	201476199
0.556	1	0.3501	0.3501	0.421313092	0.421313092	0	1		633	201476211
0.614	1	0.1971	0.1971	0.374494026	0.374494026	0	1		642	201476218
0.743	1	2.6721	6.0525	3.392294463	6.475344131	4	2		645	201476231
0.595	1	0.3645	0.3645	0.09675691	0.09675691	0	1		652	201476232
0.62	1	1.2492	1.7064	1.191338424	1.473834419	3	2		654	201476232
0.679	1	0.0549	0.0549	0.090850035	0.090850035	0	1		656	201476232
0.649	1	0.0378	0.0927	0.09488905	0.185739085	1	1		657	201476232
0	1	0.6939	6.9228	0.784561036	8.549194109	4	2		659	201476241
0	1	0.2808	7.4934	0.53709902	9.642388219	6	2		660	201476357
0.831	1	0.2898	7.2126	0.55609509	9.105289199	5	2		661	201476241
0.539	1	0.324	0.324	0.407825697	0.407825697	0	1		663	201476241
0.717	1	4.6449	5.9049	6.226069653	7.356807376	2	2		664	201476241
0.845	1	3.852	9.4752	4.679708442	12.90216414	10	3		666	201476294
0.861	1	0.1791	0.1791	0.291664722	0.291664722	0	1		669	201476294
0	1	0.2223	0.2223	0.129806559	0.129806559	0	1		676	201476294
0.592	1	0.0153	0.2376	0.096272446	0.226079005	1	1		677	201476294
0.804	1	0.4365	5.166	0.7093919	7.554425962	5	3		678	201476294
0.678	1	0.0405	5.2065	0.150286009	7.704711971	6	3		679	201476294
0.832	1	7.3908	7.3908	11.02620574	11.02620574	0	3		682	201476296
0.78	1	0.2691	8.2881	0.406035561	12.14358168	2	3		683	201476296
0.838	1	0.6282	8.019	0.711340376	11.73754612	1	3		685	201476296
0.593	1	0.3456	0.3456	0.306850588	0.306850588	0	1		689	201476302
0.885	1	1.1727	34.3656	2.188800646	46.05818632	29	4		691	201476305
0.924	1	0.0909	34.4736	0.219047054	46.31417604	31	4		692	201476305
0.942	1	0.0171	34.3827	0.036942668	46.09512898	30	4		693	201476305
0	2	1.872	15.3945	3.254446799	18.6947186	13	3		695	201476321
0.914	1	0.0351	15.4296	0.128921243	18.82363985	14	3		696	201476321
0.696	1	0.3177	2.6784	0.416465212	4.663962129	5	3		698	201476378
0	1	0.4923	0.7227	1.023579269	1.423165644	1	2		701	201476311
0	1	0.2016	0.9243	0.437552648	1.860718292	2	2		702	201476311
0.619	1	0.2304	0.2304	0.399586375	0.399586375	0	1		704	201476311
0	1	1.4103	1.4364	2.366962961	2.386778624	1	2		707	201476312
0.587	1	0.0261	0.0261	0.019815664	0.019815664	0	1		710	201476312
0.884	1	5.1975	12.9564	6.904654724	14.85383327	9	3		719	201476326
0	1	0.4959	13.5225	0.48033133	15.44027181	12	3		720	201476326
0.886	1	0.0702	13.0266	0.083853322	14.95994048	11	3		721	201476326
0.884	1	0	12.9564	0.022253879	14.87608715	10	3		722	201476326
0.689	1	0.9297	0.9297	1.338089102	1.338089102	0	1		724	201476332
0.659	1	0.0207	0.9504	0.087979259	1.426068361	1	1		725	201476387
0.894	1	1.1619	35.9811	1.760567402	48.38159403	33	4		727	201476337
0.656	1	1.1925	1.5426	1.846876304	1.930658235	2	2		730	201476348
0.609	1	0.3447	0.3447	0.059016485	0.059016485	0	1		734	201476348
0.668	1	0.0054	0.3501	0.024765446	0.083781931	1	1		735	201476348
0.964	1	1.3581	46.7307	2.456602161	63.08106627	48	4		740	201476374
0.871	1	1.1655	12.348	1.297732287	17.76469923	12	3		744	201476357
0.623	1	0.2412	0.2412	0.303911138	0.303911138	0	1		746	201476357
0.824	1	0.4734	10.9413	0.902899186	16.16305581	10	3		749	201476357
0.878	1	2.4804	10.1709	4.735546861	14.75242911	8	3		750	201476357
0.84	1	0.297	10.4679	0.507727516	15.26015662	9	3		751	201476357
0.648	1	1.0269	1.0269	1.318962483	1.318962483	0	1		753	201476373
0.679	1	0.1395	0.1395	0.036152181	0.036152181	0	1		757	201476374
0.625	1	0.0234	0.0234	0.032652334	0.032652334	0	1		760	201476379
0.639	1	0.1026	0.1026	0.310355129	0.310355129	0	1		762	201476379
0	1	0.5643	0.5643	0.38156104	0.38156104	0	1		767	201476384
0.638	1	1.3383	1.3383	1.32311664	1.32311664	0	1		772	201476393
0.877	1	3.609	43.8561	5.090321686	58.86759326	44	4		775	201476387
0.902	1	0.3501	44.2062	0.40175619	59.26934945	45	4		776	201476387
0.5	1	0.3879	0.3879	0.552917014	0.552917014	0	1		778	201476387
0.658	1	0.0288	0.4347	0.054725435	0.715834307	3	1		779	201476387
0.585	1	0.018	0.4059	0.081636386	0.661108872	2	1		780	201476387
0.5	1	0	0.3879	0.026555473	0.579472487	1	1		781	201476387
0.58	1	0.2952	1.3617	1.095468947	2.729083647	2	2		802	201476405
0.566	1	0.405	0.405	0.872821797	0.872821797	0	1		804	201476405
0.678	1	0.7677	1.0665	1.270899047	1.6336147	1	2		805	201476405
0.569	1	0.2988	0.2988	0.362715653	0.362715653	0	1		808	201476405
0	1	0.9828	0.9828	1.399022004	1.399022004	0	1		814	201476408
0.577	1	0.738	0.738	1.175067652	1.175067652	0	1		826	201476426
0.646	1	0.666	1.404	0.427132625	1.602200277	1	1		827	201476426
0	1	0.7065	0.7065	1.227150542	1.227150542	0	1		832	201476427
0.634	1	0.7326	1.3923	1.568761992	2.529489773	2	2		840	201476433
0.549	1	0.072	1.4643	0.089745134	2.619234907	3	2		841	201476433
0.628	1	0.1755	0.1755	0.211546406	0.211546406	0	1		843	201476433
0.605	1	0.4842	0.4842	0.749181376	0.749181376	0	1		845	201476433
0.753	1	0.5211	4.4091	0.830146229	7.44718648	10	3		850	201476442
0.621	1	0.6534	3.4578	1.51233732	6.519306912	8	3		852	201476442
0.737	1	0.4302	3.888	0.09773334	6.617040252	9	3		853	201476442
0.729	1	1.2582	1.2582	2.175770026	2.175770026	0	2		856	201476443
0.662	1	1.1403	2.1348	1.672328291	2.942411038	4	2		861	201476526
0.632	1	0.0027	2.1375	0.053924685	2.996335723	5	2		862	201476446
0.668	1	0.0531	0.0531	0.05043585	0.05043585	0	1		868	201476485
0.66	1	0.5274	0.5805	0.595617667	0.646053517	1	1		869	201476485
0	1	0.3708	0.9513	0.446792693	1.09284621	2	1		870	201476485
0.65	1	0.0432	0.9945	0.177236538	1.270082747	3	1		871	201476485
0.631	1	1.3599	1.3599	1.134746009	1.134746009	0	1		885	201476528
0.678	1	0.7893	4.2993	1.296929131	7.427703553	5	3		897	201476564
0.726	1	0.1629	4.4622	0.421260268	7.848963822	6	3		898	201476564
0.681	1	2.0457	3.51	3.511539515	6.130774422	4	3		901	201476564
0.65	1	0.4482	0.4482	0.753706545	0.753706545	0	1		903	201476565
0.658	1	0.3627	0.8109	0.742655492	1.496362037	1	1		904	201476565
0.641	1	0.5103	0.5103	0.624225796	0.624225796	0	1		907	201476579
0.763	1	0.342	5.6151	0.568217019	9.913542878	9	3		908	201476588
0.6	2	2.7243	5.7492	3.65290314	9.43057861	5	3		910	201476589
0.729	1	0.0018	5.751	0.01196627	9.44254488	6	3		911	201476589
0.793	1	1.4895	7.2405	1.438035917	10.8805808	7	3		912	201476589
0.736	1	0.009	7.2495	0.032197076	10.91277787	8	3		913	201476589
0.63	1	2.475	2.475	1.980802684	1.980802684	0	1		915	201476593
0.746	1	5.9283	5.9283	3.417987594	3.417987594	0	1		917	201476661
0.814	1	8.4717	14.4	5.968624968	9.386612562	1	2		918	201476625
0.689	1	1.1439	1.494	1.650393669	2.603154605	2	2		921	201476605
0	1	0.1791	0.1791	0.363867631	0.363867631	0	1		924	201476605
0.587	1	0.171	0.171	0.588893304	0.588893304	0	1		926	201476605
0.777	1	1.2123	5.6898	2.752953473	9.569268913	7	3		929	201476613
0.622	1	2.2626	2.5488	3.676369218	3.86777807	1	2		933	201476606
0.664	1	0.0495	2.5983	0.147449423	4.015227493	2	2		934	201476606
0.606	1	0.3852	0.3852	0.197933342	0.197933342	0	1		936	201476606
0.705	1	4.9923	5.2209	4.086172409	4.43274822	1	2		944	201476744
0.624	1	0.2862	0.2862	0.191408852	0.191408852	0	1		946	201476626
0.602	1	1.962	1.962	1.926935471	1.926935471	0	1		949	201476753
0.931	1	1.4463	23.0292	2.191508323	17.93780458	5	3		950	201476636
0.82	1	3.393	6.4242	5.108919289	9.737128854	3	2		956	201476645
0.618	1	0.3789	0.3789	0.214783751	0.214783751	0	1		963	201476645
0.697	1	2.142	2.6523	3.789200017	4.413425813	1	2		964	201476645
0	2	1.1502	63.5391	1.634127014	87.32622821	64	4		972	201476652
0.97	1	0.0081	63.5472	0.044831041	87.37105925	65	4		973	201476652
0	1	2.8746	62.3889	4.161734072	85.69210119	63	4		977	201476652
0.629	1	0.4356	0.4356	0.684601619	0.684601619	0	1		979	201476652
0.636	1	0.2826	0.2826	0.042423576	0.042423576	0	1		984	201476653
0.557	1	0.2763	0.5589	0.27436472	0.316788296	1	1		985	201476653
0	1	0.4833	0.4833	0.472026085	0.472026085	0	1		990	201476663
0.661	1	1.3581	1.8414	2.267789335	2.73981542	1	2		994	201476663
0.693	1	0.7209	2.7072	1.24074898	4.585385933	1	2		1001	201476683
0.639	1	1.9863	1.9863	3.344636953	3.344636953	0	2		1004	201476683
0.701	1	2.6784	2.6784	3.687991942	3.687991942	0	2		1008	201476687
0.71	1	0.0495	2.7279	0.214797873	3.902789815	1	2		1009	201476687
0.854	1	1.7937	6.6267	1.557192718	5.219929578	2	2		1011	201476686
0.823	1	0.2106	6.8373	0.469155932	5.68908551	3	2		1012	201476686
0.848	1	0.0459	6.8832	0.104107434	5.793192944	4	2		1013	201476686
0.6	1	0.6093	0.6093	0.921007649	0.921007649	0	1		1015	201476686
0.667	1	4.2237	4.2237	2.741729211	2.741729211	0	2		1016	201476686
0.636	1	0.0153	0.0153	0.088039688	0.088039688	0	1		1018	201476700
0.765	1	0.3861	4.7421	0.805412417	3.32341237	8	2		1020	201476700
0.76	1	0.0027	4.7448	0.013858366	3.337270735	9	2		1021	201476700
0	2	0.684	0.684	0.395676185	0.395676185	0	1		1024	201476700
0	1	0.2097	3.3534	0.123742959	1.426563555	5	1		1025	201476700
0.784	1	0.9873	4.3407	1.00339671	2.429960265	6	1		1026	201476700
0.771	1	0.9981	3.1437	0.264149625	1.302820595	4	1		1027	201476700
0.667	1	0.0441	2.1456	0.122068717	1.03867097	3	1		1028	201476700
0.651	1	1.4175	2.1015	0.518603753	0.916602253	2	1		1029	201476700
0	1	0	0.684	0.002322316	0.3979985	1	1		1030	201476700
0.882	1	1.0359	13.9005	1.073466455	21.89978721	19	4		1031	201476701
0	2	0.0054	13.9059	0.018191495	21.9179787	20	4		1032	201476701
